"ProvRoute","Year","Ponds"
"79243",2010,18.5
"79243",2011,34.5
"79243",2012,23
"79243",2013,35.5
"79243",2014,36
"79243",2015,18.5
"79243",2016,18
"79243",2017,35
"79243",2018,24.5
"79243",2019,20
"79243",2022,20
"4329",1969,10
"4329",1970,24
"4329",1971,23
"4329",1972,25
"4329",1973,29
"4329",1974,116
"4329",1975,11
"4329",1976,22
"4329",1977,25
"4329",1978,18
"4329",1979,29
"4329",1980,27
"4329",1981,36
"4329",1982,52
"4329",1983,40
"4329",1984,33
"4329",1985,45
"4329",1986,64
"4329",1987,21
"4329",1988,30
"4329",1989,24
"4329",1990,35
"4329",1991,34
"4329",1992,29
"4329",1993,35
"4329",1994,39
"4329",1995,32
"4329",1996,44
"4329",1997,38
"4329",1998,45
"4329",1999,38
"4329",2000,34
"4329",2001,22
"4329",2002,23
"4329",2003,34
"4329",2004,18
"4329",2005,49
"4329",2006,33
"4329",2007,24
"4329",2008,25
"4329",2009,9
"4329",2010,12
"4329",2011,27
"4329",2012,21
"4329",2013,42
"4329",2014,40
"4329",2015,21
"4329",2016,14
"4329",2017,37
"4329",2018,31
"4329",2019,28
"4329",2022,36
"4328",1969,12.6666666666667
"4328",1970,37
"4328",1971,23.6666666666667
"4328",1972,31.6666666666667
"4328",1973,36.6666666666667
"4328",1974,118.666666666667
"4328",1975,12
"4328",1976,22
"4328",1977,26
"4328",1978,17.6666666666667
"4328",1979,35.3333333333333
"4328",1980,31
"4328",1981,36
"4328",1982,58.3333333333333
"4328",1983,48.3333333333333
"4328",1984,36.3333333333333
"4328",1985,49.3333333333333
"4328",1986,66
"4328",1987,25
"4328",1988,28.3333333333333
"4328",1989,24.6666666666667
"4328",1990,33
"4328",1991,37
"4328",1992,41.3333333333333
"4328",1993,37.6666666666667
"4328",1994,41
"4328",1995,38.3333333333333
"4328",1996,47
"4328",1997,39.3333333333333
"4328",1998,38.6666666666667
"4328",1999,33
"4328",2000,33.6666666666667
"4328",2001,23
"4328",2002,25.6666666666667
"4328",2003,38.3333333333333
"4328",2004,21.3333333333333
"4328",2005,58.3333333333333
"4328",2006,49.6666666666667
"4328",2007,29
"4328",2008,28.3333333333333
"4328",2009,13.6666666666667
"4328",2010,11.3333333333333
"4328",2011,33.6666666666667
"4328",2012,21.6666666666667
"4328",2013,43.3333333333333
"4328",2014,46.3333333333333
"4328",2015,28.3333333333333
"4328",2016,15.3333333333333
"4328",2017,42.6666666666667
"4328",2018,31.6666666666667
"4328",2019,29.6666666666667
"4328",2022,45.3333333333333
"45320",1969,83.6666666666667
"45320",1970,152
"45320",1971,150.5
"45320",1972,154
"45320",1973,43.8333333333333
"45320",1974,183.666666666667
"45320",1975,112.166666666667
"45320",1976,90.8333333333333
"45320",1977,59.1666666666667
"45320",1978,189.5
"45320",1979,167
"45320",1980,43.8333333333333
"45320",1981,41.3333333333333
